date,BAMLH0A0HYM2,BAMLC0A0CM,NFCI,DGS10,DGS2,T10Y2Y,SOFR,STLFSI4,VIXCLS,SP500
2005-01-03,4.306650977914051,1.1365660495705319,-0.37562263361964554,3.2,2.4,0.8000000000000003,2.1457075619631647,-0.46952829202455687,14.457075619631647,1213.2952960716395
2005-01-04,3.83754402056124,0.9752019072511406,,3.202249997656251,2.402894733500997,0.7993552641552539,1.946897117564923,,15.559976159360744,1223.2946268810101
2005-01-05,4.465734811264864,1.1900541434967749,,3.2044999812500237,2.4057894469553753,0.7987105342946483,2.218357126326344,,15.125676793709687,1230.2429654545376
2005-01-06,4.53381293294061,1.2128677659669458,,3.206749936718928,2.4086841203166536,0.7980658164022745,2.249768827775336,,15.41084707458682,1240.844857566588
2005-01-07,3.523291287372604,0.8658757773615398,,3.20899985000075,2.4115787335386294,0.7974211164621208,1.818923455240554,,16.926552782980753,1219.2634852519031
2005-01-10,3.7519290061678725,0.9437384591765219,-0.5041743605489855,3.211249707033539,2.414473266575516,0.7967764404580229,1.9191463405461684,-0.6302179506862318,15.953269260293478,1234.5190928622071
2005-01-11,4.253974091062091,1.1153408483800744,,3.2134994937556955,2.4173676993820825,0.796131794373613,2.1365437598571755,,14.191760604750929,1239.1926201909819
2005-01-12,4.100083022479591,1.0620508889187703,,3.21574919610606,2.420262011913792,0.7954871841922682,2.0728256230622546,,14.474363888515374,1250.8296951653604
2005-01-13,4.206425345230942,1.0979838610994854,,3.217998800024,2.42315618412694,0.7948426158970601,2.120636010501297,,14.025201736256433,1255.5095966447382
2005-01-14,3.915278014226785,0.9976347286911704,,3.2202482914494985,2.426050195978795,0.7941980954707035,1.9980936068427582,,15.27956589136037,1256.3766035491562
2005-01-17,4.5231701138160165,1.2055277569835394,-0.32964816201097374,3.2224976563232413,2.4289440274277347,0.7935536288955065,2.260853723657159,-0.4120602025137171,15.319096962294243,1253.5807846167925
2005-01-18,4.489145206223966,1.193335032251474,,3.2247468805867054,2.431837658433387,0.7929092221533183,2.2485064487477295,,15.166687903143423,1258.044313697702
2005-01-19,4.241565728913677,1.107923683707346,,3.2269959501822463,2.4347310689567676,0.7922648812254787,2.14463567359095,,14.099046046341824,1254.833195744179
2005-01-20,4.614526090147082,1.235268944836164,,3.2292448510531866,2.4376242389604186,0.791620612092768,2.306710420005624,,15.690861810452049,1264.989139659416
2005-01-21,4.385156324703143,1.1561011210702457,,3.2314935691439026,2.4405171484085484,0.7909764207353542,2.2106435497463552,,14.701264013378069,1247.36762038898
2005-01-24,3.9223117616504912,0.9968849044540115,-0.4687433970306591,3.2337420903999146,2.4434097772671697,0.7903323131327449,2.014515907834684,-0.5859292462883239,15.288938694324857,1241.612880287666
2005-01-25,4.353662625648356,1.1442500940898999,,3.235990400767971,2.4463021055042384,0.7896882952637325,2.2016147231166134,,14.553126176123747,1264.990552247229
2005-01-26,3.890526304586513,0.9849340879005202,,3.2382384861961397,2.449194113089792,0.7890443731063477,2.0053617229654424,,15.438323901243498,1258.197233531242
2005-01-27,4.535127797376261,1.2054140361568728,,3.2404863326338944,2.452085779996089,0.7884005526378055,2.28385332519218,,15.317675451960909,1255.8112472397122
2005-01-28,4.211730690793718,1.0940088906816496,,3.242733926032202,2.4549770861977462,0.7877568398344557,2.1474881995498083,,14.074888866479379,1246.1870724424555
2005-01-31,4.166037068095718,1.0778165163745688,-0.4147889890836209,3.2449812523436106,2.4578680116718794,0.7871132406717312,2.1301386571400904,-0.5184862363545261,14.27729354531789,1250.272038640486
2005-02-01,3.993947235776006,1.0182884546715272,,3.247228297522339,2.4607585363982403,0.7864697611240987,2.0586191047376494,,15.021394316605912,1242.3251870177826
2005-02-02,4.661695248429737,1.2467049606408838,,3.2494750475243612,2.4636486403593567,0.7858264071650045,2.3470298411604613,,15.833812008011046,1240.5617188592566
2005-02-03,4.1812531646613005,1.0814564621517437,,3.2517214883074974,2.46653830354067,0.7851831847668276,2.1433588812303497,,14.231794223103202,1250.388214814305
2005-02-04,4.086955926361863,1.0486006613404273,,3.2539676058315004,2.469427505930673,0.7845400999008274,2.105178332606207,,14.642491733244661,1242.8600357020352
2005-02-07,4.115155556758287,1.0577439739414125,-0.4281706840390584,3.256213386058142,2.472316227521051,0.7838971585370911,2.119496194947817,-0.535213355048823,14.528200325732344,1252.0255805924064
2005-02-08,4.426241581602404,1.1638771022664018,,3.2584588149513047,2.4752044483068185,0.7832543666444862,2.255050826139821,,14.798463778330023,1261.6403862609502
2005-02-09,4.369369265686175,1.1438532877236895,,3.2607038784770634,2.4780921482864575,0.7826117301906059,2.2329087579410696,,14.548166096546117,1273.9946693337254
2005-02-10,4.387450120347656,1.1495279133915186,,3.2629485626037797,2.4809793074620576,0.7819692551417221,2.242889199201456,,14.619098917393982,1275.9260668439058
2005-02-11,4.395310284471342,1.151698520360946,,3.2651928533021843,2.4838659058394534,0.7813269474627309,2.248489056290636,,14.646231504511825,1314.023196942391
2005-02-14,4.995628162230304,1.3569977121044554,-0.2286681919303631,3.267436736545468,2.486751923428363,0.7806848131171051,2.507999063558932,-0.2858352399129539,17.21247140130569,1326.8853806950005
2005-02-15,4.105334133463692,1.0512301980338463,,3.269680198309368,2.489637340242526,0.7800428580668424,2.1286750877848335,,14.609622524576924,1331.1034707273461
2005-02-16,4.069821617459683,1.0385308725114155,,3.2719232245722556,2.492522136299843,0.7794010882724125,2.1156857269391125,,14.768364093607307,1320.9814139427049
2005-02-17,3.965812574756683,1.0023472726102547,,3.2741658013152235,2.4954062916225146,0.7787595096927089,2.073340382385333,,15.220659092371816,1320.1579963245413
2005-02-18,4.467751535545192,1.1739175307090595,,3.2764079145221747,2.4982897862371765,0.7781181282849983,2.290686699623501,,14.923969133863244,1337.5483737354705
2005-02-21,4.648823976518401,1.2354766751265072,-0.3096822165823287,3.2786495501799084,2.5011726001750407,0.7774769500048677,2.370518444083175,-0.3871027707279108,15.693458439081338,1358.6263845106137
2005-02-22,4.215326206172993,1.0863263050814151,,3.2808906942782103,2.5040547134720343,0.776835980806176,2.1869625948238034,,14.170921186482312,1377.1678942274
2005-02-23,3.962676375018756,0.9991812227644967,,3.2831313328099356,2.506936106168935,0.7761952266410006,2.080912634624556,,15.260234715443792,1387.2812140229503
2005-02-24,3.9696852028501075,1.0010622541170513,,3.285371451771102,2.5098167583115107,0.7755546934595912,2.086144575957825,,15.23672182353686,1372.0348484984909
2005-02-25,4.487482728728085,1.1780711345389643,,3.287611037160972,2.5126966499506596,0.7749143872103126,2.310285568124365,,14.975889181737053,1378.408241326908
